"ProbeID","Expression"
"1552858_at",2.3842807749
"1552860_at",3.8109278804
"1552862_at",3.8310739213
"1552863_a_at",6.7740657892
"1552865_a_at",4.8575232466
"1552867_at",2.7701399872
"1552868_at",5.8568991608
"1552870_s_at",2.5112190694
"1552872_at",4.6363504932
"1552873_s_at",6.8766125541
"1552875_a_at",2.8225982231
"1552876_at",3.4800854268
"1552877_s_at",4.5448233451
"1552878_at",2.4320000386
"1552879_a_at",4.2609087553
"1552880_at",3.1496878032
"1552882_a_at",4.0605229291
"1552884_at",5.4517607701
"1552885_a_at",6.8224495053
"1552887_at",5.9178054697
"1552889_a_at",7.7800267895
"1552890_a_at",4.2018500105
"1552892_at",6.56904719
"1552893_at",5.1516241246
"1552895_a_at",3.2181404795
"1552897_a_at",2.9977124149
"1552898_a_at",3.164419222
"1552899_at",2.6695980969
"1552900_a_at",2.7634325268
"1552902_a_at",4.0044109758
"1552903_at",4.4635614329
"1552904_at",2.5212540209
"1552906_at",2.5857232555
"1552908_at",2.7848622425
"1552910_at",3.5462034799
"1552911_at",4.5581836099
"1552912_a_at",2.6694885044
"1552913_at",2.4544494593
"1552914_a_at",5.4850994332
"1552915_at",3.5744758605
"1552917_at",4.427630845
"1552919_at",2.9533019836
"1552921_a_at",3.3042735311
"1552922_at",2.5399273228
"1552923_a_at",3.9788078386
"1552924_a_at",4.0883173173
"1552925_at",3.9536064108
"1552927_at",3.0889505262
"1552928_s_at",3.0403547475
"1552929_at",2.8432553615
"1552930_at",5.7483356085
"1552931_a_at",4.7586717244
"1552932_at",4.061396222
"1552933_at",3.0443900518
"1552935_at",6.1452042212
"1552937_s_at",5.2494701335
"1552938_at",4.4665672188
"1552939_at",2.4980071369
"1552940_at",3.0056924151
"1552942_at",5.0018563335
"1552943_at",2.603097011
"1552944_a_at",8.0772253173
"1552946_at",2.83660392
"1552947_x_at",3.2076001652
"1552948_at",4.4902871961
"1552950_at",2.906324742
"1552952_at",2.8847849937
"1552953_a_at",5.0613639323
"1552954_at",3.5949606161
"1552955_at",3.9710670202
"1552957_at",2.9134873005
"1552960_at",4.8250635548
"1552961_at",3.8792726247
"1552964_at",4.7410786975
"1552965_a_at",3.810044729
"1552967_at",4.0797939382
"1552969_a_at",2.9993508685
"1552970_s_at",2.9262864227
"1552971_at",2.8043446375
"1552972_at",2.2615024625
"1552973_at",4.2608289528
"1552974_at",2.3447383026
"1552975_x_at",2.4943792225
"1552976_at",7.1557824667
"1552977_a_at",8.339325356
"1552978_a_at",5.2618218746
